S.No,Store Name,Address,Pincode,City,State,Phone,Store Page URL
112,"Pizza Hut - Vikas Puri, Delhi","G8, Sonia Theatres, Community Centre,Vikaspuri, New Delhi, Delhi, India",110019,New Delhi,Delhi,089290 98835,https://restaurants.pizzahut.co.in/pizza-hut-vikaspuri-pizza-restaurant-vikaspuri-new-delhi-1431/Home
113,"Pizza Hut - Vivek Vihar, New Delhi","Shop No 101, 1st Floor, Jhilmil Industrial Area, Vivek Vihar, Near Dilshad Garden Metro Station, New Delhi, Delhi, India",110085,New Delhi,Delhi,076694 00260,https://restaurants.pizzahut.co.in/pizza-hut-vivek-vihar-new-delhi-in-delhi-new-delhi-near-dilshad-garden-metro-station-61813/Home
114,"Pizza Hut - Yamuna Vihar, Delhi","No C3/59A, Ground Floor, Service Ln, Blk C, Yamuna Vihar, Shahdara, New Delhi, Delhi, India",110053,New Delhi,Delhi,098997 08307,https://restaurants.pizzahut.co.in/pizza-hut-ph-yamuna-vihar-delhi-pizza-restaurant-shahdara-new-delhi-129853/Home
115,"Pizza Hut - Aquem, Goa","GF, Kayji Palladium, 8 & 9, S No 3 to 5, A Block, Gogol Housing Board, Madgaon, Goa, India",403601,Madgaon,Goa,098990 75025,https://restaurants.pizzahut.co.in/pizza-hut-ph-kayji-palladium-madgaon-pizzerias-margao-margao-275542/Home
116,"Pizza Hut - Fatorda, Goa","Arc E Wing, Osia Commercial, SGPDA Market Complex, E1 to E4, E13 to E16, Madgaon, Goa, India",403601,Madgaon,Goa,086556 89171,https://restaurants.pizzahut.co.in/pizza-hut-fatorda-pizza-restaurant-sgpda-market-complex-margao-1451/Home
117,"Pizza Hut - Mapusa, Goa","Shop No S1 & S2, Morod, Mapusa, Opposite Norberts Fitness, North Goa, Goa, India",403507,North Goa,Goa,098990 71942,https://restaurants.pizzahut.co.in/pizza-hut-ph-morod-mapusa-goa-pizzerias-mapusa-north-goa-271850/Home
118,"Pizza Hut - Patto Colony, Panaji","Predio Abilio Coelho Pereira, Avenida Dom João de Castro, Patto Colony, Near Head Post Office, Panaji, Goa, India",403001,Panaji,Goa,086556 89215,https://restaurants.pizzahut.co.in/pizza-hut-patto-colony-panaji-in-goa-panaji-near-head-post-office-43755/Home
119,"Pizza Hut - Taleigao, Panaji",,403206,Panaji,Goa,,https://restaurants.pizzahut.co.in/pizza-hut-taleigao-panaji-in-goa-panaji-taleigao-83369/Home
120,"Pizza Hut - Porvorim, Goa","House No 250B, NH 66,Alto Porvorim, Opposite O'Coquiero, Porvorim, Goa, India",403521,Porvorim,Goa,089768 83074,https://restaurants.pizzahut.co.in/pizza-hut-alto-porvorim-pizza-restaurant-alto-porvorim-porvorim-36110/Home
121,"Pizza Hut - Porvorim, Goa","No TF4, 3rd Floor, Nova Cidade Complex, Sy No 73/1, Bardez, Alto- Betim Porvorim, Porvorim, Goa, India",403521,Porvorim,Goa,1800 202 2022,https://restaurants.pizzahut.co.in/pizza-hut-porvorim-goa-in-goa-porvorim-alto-betim-porvorim-25416/Home
122,"Pizza Hut - Mormugao, South Goa","Shop No 38 & 40, No 8/1, Umiya Quatro, Plot No C, Commercial Block, Mormugao, Near Airport Dabolim, South Goa, Goa, India",403801,South Goa,Goa,086556 89190,https://restaurants.pizzahut.co.in/pizza-hut-debolim-goa-pizzerias-mormugao-south-goa-275676/Home
123,"Pizza Hut - Dabolim - Cavelossim Rd, Vaneli",,403708,Vaneli,Goa,,https://restaurants.pizzahut.co.in/pizza-hut-dabolim-cavelossim-rd-vaneli-in-goa-vaneli-dabolim-cavelossim-rd-63026/Home
124,"Pizza Hut - Vasco Da Gama, Goa",,403802,Vasco Da Gama,Goa,,https://restaurants.pizzahut.co.in/pizza-hut-vasco-da-gama-goa-in-goa-vasco-da-gama-vaddem-22288/Home
125,"Pizza Hut - Ashram Road, Ahmedabad","No 956, Grnd Flr, City Gold Multiplex, Ashram Road, Next to McDonalds, Navrangpura, Ahmedabad, Gujarat, India",380009,Ahmedabad,Gujarat,098993 22702,https://restaurants.pizzahut.co.in/pizza-hut-ashram-road-pizza-delivery-ashram-road-ahmedabad-1199/Home
