S.No,Store Name,Address,Pincode,Google Pincode,Pincode Match,City,State,Phone,Store Page URL,Place ID,Lat,Long,Google Name,Google Address,Google Lat,Google Long,Business Status,Lookup
579,"Pizza Hut - Providence Mall, Pondicherry","No 07, SN 42, 3rd Floor, Providence Mall, Venkata Subha Reddiar Salai, Puducherry, Puducherry, India",605001,605001,Yes,Puducherry,Puducherry,1800 202 2022,https://restaurants.pizzahut.co.in/pizza-hut-venkata-subha-reddiar-salai-pizza-restaurant-venkata-subha-reddiar-salai-puducherry-82698/Home,ChIJcW50QuthUzoR1-ho2KRBZgk,11.9297772,79.8100043,"Pizza Hut | Providence Mall, Pondicherry","No 07, SN 42, 3rd Floor, Providence Mall Venkata Subha Reddiar Salai, Ambedkar Nagar, Orleanpet, Puducherry, 605001, India",11.92913,79.82003379999999,OPERATIONAL,place_id
580,"Pizza Hut - Mall Of Amritsar, Amritsar","S 033, 2nd Floor, Mall of Amritsar, MBM Farm, GT Road, Sultan Wind Suburban, Amritsar, Punjab, India",143001,143006,No,Amritsar,Punjab,070650 11766,https://restaurants.pizzahut.co.in/pizza-hut-gt-road-pizza-restaurant-gt-road-amritsar-34355/Home,ChIJ-byBGu59GTkR-ZgWC9hCA4w,31.6189778,74.9085514,"Pizza Hut | Mall Of Amritsar, Amritsar","2nd Floor, MBM Farm, Mall of Amritsar, S 033, G T Rd, Sultanwind, Suburban, Maqbool Pura, Amritsar, Amritsar Cantt., Punjab 143006, India",31.6189778,74.9085514,OPERATIONAL,place_id
581,"Pizza Hut - Urban Haat, Amirtsar","Food Court, GT Road, Urban Haat, Maharaja Ranjit Singh Nagar, Ram Bagh, Amritsar, Punjab, India",143001,143001,Yes,Amritsar,Punjab,070650 11916,https://restaurants.pizzahut.co.in/pizza-hut-ram-bagh-pizza-restaurant-ram-bagh-amritsar-98972/Home,ChIJvQ9tVWxjGTkRYtKhsarTAeQ,31.6360445,74.8775088,"Pizza Hut | Urban Haat, Amirtsar","Food Court, Urban Haat, Grand Trunk Rd, Maharaja Ranjit Singh Nagar, Ram Bagh, Amritsar, Punjab 143001, India",31.6360445,74.8775088,OPERATIONAL,place_id
582,"Pizza Hut - Bharat Nagar, Bhatinda","MCB No Z 210676, The Food Street, Bibi Wala Road, Near Dhillon Gym, Bathinda, Punjab, India",151001,151001,Yes,Bathinda,Punjab,084483 81688,https://restaurants.pizzahut.co.in/pizza-hut-bibi-wala-road-pizza-restaurant-bibi-wala-road-bathinda-36114/Home,ChIJzSR6iQUzFzkRimzEhXd8sNQ,30.2200727,74.9547848,"Pizza Hut | Bharat Nagar, Bhatinda","MCB No Z 210676 The Food Street, Bibi Wala Rd, near Dhillon Gym, Bharat Nagar, Bathinda, Punjab 151001, India",30.2200727,74.9547848,OPERATIONAL,place_id
583,"Pizza Hut - Rose Garden Complex, Bhatinda","Shop No 07, Rose Garden Complex, GT Road, Bathinda, Punjab, India",151001,151001,Yes,Bathinda,Punjab,072900 67842,https://restaurants.pizzahut.co.in/pizza-hut-gt-road-pizza-restaurant-gt-road-bathinda-98964/Home,ChIJ8YYqlu4yFzkR7qqCstcUOz0,30.2139807,74.9314263,"Pizza Hut | Rose Garden Complex, Bhatinda","Shop No 07, Rose Garden Complex, GT Rd, Railway Colony, Parasram Nagar, Bathinda, Punjab 151001, India",30.21398069999999,74.9314263,OPERATIONAL,place_id
584,Pizza Hut - Sector 19 Chandigarh,"SCO36, Ground Floor, Sector-19 D, Chandigarh, Punjab, India",160019,160019,Yes,Chandigarh,Punjab,,https://restaurants.pizzahut.co.in/pizza-hut-in-punjab-chandigarh-sector-19-d-84816/Home,ChIJiQAgAdHtDzkRoJziQu16_7I,30.7295629,76.7912862,Pizza Hut | Sector 19 Chandigarh,"SCO36, Ground Floor, 19D, Sector 19, Chandigarh, Punjab 160019, India",30.7295629,76.7912862,OPERATIONAL,place_id
585,"Pizza Hut - Downtown NH44, Pathankot","Shop No 2, Downtown 44, NH 44, Dadwal, Gurdaspur, Punjab, India",145025,145023,No,Gurdaspur,Punjab,070650 12899,https://restaurants.pizzahut.co.in/pizza-hut-ph-downtown44-pathankot-pizza-restaurant-dadwal-gurdaspur-166840/Home,ChIJ7TkjoYt5HDkRQ43Cv3rP7_M,32.2872158,75.5972885,"Pizza Hut | Downtown NH44, Pathankot","Shop No 2, Downtown 44, NH 44, Dadwal, Gurdaspur, Punjab 145023, India",32.2872158,75.59728849999999,OPERATIONAL,place_id
586,"Pizza Hut - Mall Road, Hoshiarpur","Plot No 1314 & 1315, UGF, The Mall Road, Ish Nagar, Fatehgarh, Hoshiarpur, Punjab, India",146001,146001,Yes,Hoshiarpur,Punjab,097118 69408,https://restaurants.pizzahut.co.in/pizza-hut-ph-mall-road-hoshiarpur-pizzerias-fatehgarh-hoshiarpur-185500/Home,ChIJAeBPKRHjGjkRdJJxA3t3F6o,31.5315943,75.9199863,"Pizza Hut | Mall Road, Hoshiarpur","Plot No 1314 & 1315, UGF, The Mall Road, Ish Nagar, Fatehgarh, Hoshiarpur, Punjab 146001, India",31.5315943,75.91998629999999,OPERATIONAL,place_id
587,"Pizza Hut - Doaba Chowk, Jalandhar","No B9/21, Doaba Chowk, Vikas Puri, Santokh Pura, Jalandhar, Punjab, India",144102,144008,No,Jalandhar,Punjab,085888 14334,https://restaurants.pizzahut.co.in/pizza-hut-ph-doaba-chowk-jalandhar-pizza-restaurant-santokh-pura-jalandhar-299197/Home,ChIJ2yReLpJbGjkRCAoXLjtXums,31.3453364,75.5859347,"Pizza Hut | Doaba Chowk, Jalandhar","No B9/21, Doaba Chowk, Vikas Puri, Santokh Pura, Jalandhar, Punjab 144008, India",31.3453364,75.5859347,OPERATIONAL,place_id
588,"Pizza Hut - Leo Fort, Jalandhar","UGF, Leo Fort Hotel, BMC Chowk, Jalandhar Cantt, Jandiala Road, Civil Line, Jalandhar, Punjab, India",144006,144001,No,Jalandhar,Punjab,070650 11990,https://restaurants.pizzahut.co.in/pizza-hut-civil-line-pizza-restaurant-civil-line-jalandhar-104904/Home,ChIJjbNEH5NbGjkRK29Ff0UxofE,31.3181524,75.584772,"Pizza Hut | Leo Fort, Jalandhar","UGF, Leo Fort Hotel, Jalandhar Cantt - Jandiala Rd, BMC Chowk, Civil Line, Jalandhar, Punjab 144001, India",31.3181524,75.584772,OPERATIONAL,place_id
589,"Pizza Hut - Model Town, Jalandhar","Unit No 188, Upper Ground Floor, Model Town, Jalandhar, Punjab, India",144003,144001,No,Jalandhar,Punjab,070650 07099,https://restaurants.pizzahut.co.in/pizza-hut-model-town-pizza-restaurant-model-town-jalandhar-23938/Home,ChIJcZPsNqtbGjkRqi_pne_YM24,31.3084178,75.5782658,"Pizza Hut | Model Town, Jalandhar","Unit No 188, Upper Ground Floor, Model Town, Jalandhar, Punjab 144001, India",31.3084178,75.5782658,OPERATIONAL,place_id
